name,producer,year,alcoholPercentage,volume,price,country,region,district,type,categoryTaste,usage,taste,tasteBitter,tasteSweetness,tasteFruitAcid,tasteBody,tasteRoughness,url,imageURL,grapes
"Cune, Reserva",Vinicola del Norte de España Company,2015,14.0,750.0,175.0,Spain,Rioja,,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/cune-7558801,https://product-cdn.systembolaget.se/productimages/10363091/10363091,
Dolcetto d'Alba,Fratelli Cigliuti,2017,13.5,750.0,169.0,Italy,Piedmont,Dolcetto d'Alba,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/dolcetto-d'alba-7426201,https://product-cdn.systembolaget.se/productimages/1038961/1038961,
"Dominion of Requena, Brut Nature",Pago de Tharsys,,11.5,750.0,137.0,Spain,Valencia,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/dominio-de-requena-7714401,https://sb-product-media-prod.azureedge.net/productimages/24433583/24433583,
"Castello Di Verrazzano, Gran Selezione Sassello",Castle of Verrazzano,2015,14.5,750.0,433.0,Italy,Tuscany,Chianti,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/castello-di-verrazzano-7490801,,
"Dominion of Requena, Brut",Pago de Tharsys,,11.5,750.0,137.0,Spain,Cava,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/dominio-de-requena-7722801,https://sb-product-media-prod.azureedge.net/productimages/24433592/24433592,
"Williams Selyem, Estate Chardonnay",Williams Selyem,2017,14.5,750.0,1099.0,USA,California,North Coast,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/williams-selyem-7002701,,
"Austerum, Barbera d'Asti Classico",Tenuta Montemagno,2017,14.0,750.0,235.0,Italy,Piedmont,Barbera d'Asti,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/austerum-7151001,https://product-cdn.systembolaget.se/productimages/24433981/24433981,
"Blossa, mulled wine",Altia PLC,,9.5,750.0,69.0,Finland,,,Aperitif & Dessert,Mulled wine and mulled wine,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/blossa-7344901,https://product-cdn.systembolaget.se/productimages/24433982/24433982,
"Cristina, Medium Oloroso",Gonzalez-Byass,,17.5,375.0,99.0,Spain,Andalusia,Jerez,Aperitif & Dessert,Sherry & Montilla,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/cristina-7728802,,
"Barbera d'Asti, Superior Il Vecchio",Azienda Agricola Mario Torelli by Gianfranco Torelli,2016,15.0,750.0,297.0,Italy,Piedmont,Barbera d'Asti,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/barbera-d'asti-7503101,https://product-cdn.systembolaget.se/productimages/24435470/24435470,
"Piemonte, Pinot Nero Il Magno",Azienda Agricola Mario Torelli by Gianfranco Torelli,2017,14.0,750.0,297.0,Italy,Piedmont,,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/piemonte-7479701,https://product-cdn.systembolaget.se/productimages/24435471/24435471,
"Vigna del Convento, Di Capestrano",Valle Reale,2015,13.5,750.0,410.0,Italy,Abruzzo,Montepulciano d'Abruzzo,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/vigna-del-convento-7358301,,
"Piedmont, Freisa",Cascina Vigna,2016,14.5,750.0,199.0,Italy,Piedmont,Barbera d'Asti,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/piemonte-7524301,https://sb-product-media-prod.azureedge.net/productimages/24436053/24436053,
"Gosset, Grand Reserve Brut",Gosset,,12.0,3000.0,2599.0,France,Champagne,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/gosset-7737908,https://sb-product-media-prod.azureedge.net/productimages/24436846/24436846,
"Faustino, Art Collection Reserva",Bodegas Faustino,2013,13.5,750.0,145.0,Spain,Rioja,,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/faustino-7514801,https://product-cdn.systembolaget.se/productimages/24438759/24438759,
"By Ruscio Audace, Passerina Brut",Cantina Di Ruscio Srl,,12.0,750.0,119.0,Italy,March,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/di-ruscio-audace-7721701,https://product-cdn.systembolaget.se/productimages/24439442/24439442,
"Chablis, Vieilles Vignes",Judgment. Séguinot-Bordet,2018,12.5,750.0,279.0,France,Burgundy,Chablis,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/chablis-7420701,,
"Coronica, Gran Malvazija",ATC DOO,2017,13.5,750.0,249.0,Croatia,Primorska,Istra,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/coronica-7279801,https://sb-product-media-prod.azureedge.net/productimages/24440793/24440793,
"Coronica, Malvazija Istarska",ATC DOO,2018,13.0,750.0,188.0,Croatia,Primorska,Istra,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/coronica-7170601,https://sb-product-media-prod.azureedge.net/productimages/24440794/24440794,
Wine & Nature 34,Several producers,,13.0,4500.0,1590.0,Varying origins,,,Mixed boxes of wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/vin-&-natur-34-7260509,,
"Renato Corino, Langhe Nebbiolo",Renato Corino,2018,14.5,750.0,219.0,Italy,Piedmont,Langhe,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/renato-corino-7041501,https://sb-product-media-prod.azureedge.net/productimages/24441296/24441296,
"Langhe Nebbiolo, Enzo Boglietti",Azienda Agricola Enzo Boglietti,2017,14.5,750.0,215.0,Italy,Piedmont,Langhe,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/langhe-nebbiolo-7353501,https://sb-product-media-prod.azureedge.net/productimages/24441306/24441306,
"Renato Corino, Arborina",Azienda Agricola Renato Corino,2016,14.5,750.0,525.0,Italy,Piedmont,Barolo,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/renato-corino-7367001,https://sb-product-media-prod.azureedge.net/productimages/24441675/24441675,
"Bérêche & Fils, Brut Reserve",Bérêche & Fils,,12.0,750.0,470.0,France,Champagne,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/bérêche-&-fils-7497401,,
"Côte de Nuits-Villages, Les Monts de Boncourt",R. Dubois & Fils,2017,13.0,750.0,219.0,France,Burgundy,Côte de Nuits,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/côte-de-nuits-villages-7032901,,
Guado Alto,Vicchiomaggio Castle,2017,14.0,750.0,179.0,Italy,Tuscany,Chianti,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/guado-alto-7349601,,
"Antica Terra, Botanica Pinot Noir",Antica Terra,2017,14.0,750.0,1259.0,USA,Oregon,Willamette Valley,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/antica-terra-7595901,,
"Turley, Old Vines Zinfandel",Turley Wine Cellars,2017,15.5,750.0,459.0,USA,California,,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/turley-7506301,,
"Weon, Carignan",VINA MAITA,2018,13.0,750.0,139.0,Chile,Valle Central,Maule,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/weon-7476401,https://sb-product-media-prod.azureedge.net/productimages/24444003/24444003,
"Sea Smoke, Southing Pinot Noir",Sea Smoke Cellars,2017,14.5,750.0,849.0,USA,California,Central Coast,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/sea-smoke-7303901,,
"Red Fire, Old Vine Zinfandel",Enoitalia,2018,13.5,750.0,109.0,Italy,Apulia,,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/red-fire-7654701,,
Fine Fleur,Champagne Baron Dauvergne,,12.0,750.0,399.0,France,Champagne,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/fine-fleur-7706001,,
"Hervé Dubois, Blanc de Blancs Grand Cru Reserve Brut",Hervé Dubois,,12.0,750.0,299.0,France,Champagne,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/hervé-dubois-7735301,,
"Ponzi, Chardonnay Reserve",Ponzi Vineyards,2014,14.0,750.0,355.0,USA,Oregon,Willamette Valley,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/ponzi-7786201,,
"Finca Rio Negro, spice tram",Meraven SL,2016,13.5,750.0,168.0,Spain,Castile-La Mancha,VdlT Castilla,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/finca-rio-negro-7642101,,
"Ironstone, Old Vines Zinfandel",Ironstone Vineyards,2018,14.5,750.0,139.0,USA,California,Inland Valleys,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/ironstone-7614901,https://product-cdn.systembolaget.se/productimages/1074118/1074118,
"Flora Springs, Cabernet Sauvignon",Flora Springs,2017,14.0,750.0,579.0,USA,California,North Coast,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/flora-springs-7097001,,
"Barbera d´Asti, Superiore",Canonica Cav. Cesare,2013,13.5,750.0,268.0,Italy,Piedmont,Barbera d'Asti,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/barbera-d´asti-7122301,https://product-cdn.systembolaget.se/productimages/1079551/1079551,
"Cavalier Cesare Canonica, Langhe Nebbiolo",Canonica Cav. Cesare,2014,13.0,750.0,278.0,Italy,Piedmont,Langhe,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/cavalier-cesare-canonica-7015101,https://product-cdn.systembolaget.se/productimages/1081510/1081510,
"Zýme, Valpolicella Classico Superiore",Azienda Agricola Zyme,2015,14.0,750.0,380.0,Italy,Veneto,Valpolicella,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/zýme-7284701,,
"Sublime Grand Cru, Rosé",Union of Owners of Harvesters,,12.5,750.0,414.0,France,Champagne,,Sparkling wine,Rosé,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/sublime-grand-cru-7742501,,
"MilleUna Aladino, Primitivo Dolce Naturale",Mille Una,2012,18.0,750.0,199.0,Italy,Apulia,Salento,Red wine,Sweet,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/milleuna-aladino-7329701,,
"Röschitz, Grüner Veltliner",Winery Gruber Röschitz,2018,12.5,750.0,119.0,Austria,Lower Austria,Wine quarters,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/röschitz-7900801,https://product-cdn.systembolaget.se/productimages/1084993/1084993,
"Le Guaite di Noemi, Ripasso",Le Guaite di Noemi,2010,15.5,750.0,444.0,Italy,Veneto,Valpolicella,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/le-guaite-di-noemi-7685201,,
"Freixenet Mia, Sangria Classic Royal",Freixenet,,8.5,750.0,79.0,Spain,,,Aperitif & Dessert,Flavored wines & fruit wines,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/freixenet-mia-7676301,https://product-cdn.systembolaget.se/productimages/1086520/1086520,
Alter ego,Palmer Castle,2014,13.5,750.0,899.0,France,Bordeaux,Haut-Médoc,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/alter-ego-7445101,,
"Trapiche, Pure Malbec",Bodegas Trapiche,2019,13.5,750.0,109.0,Argentina,Cuyo,Mendoza,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/trapiche-7553501,,
"Bergerie de la Bastide, Blanc",Provin,2018,11.5,750.0,89.0,France,Languedoc-Roussillon,VdP d'Oc,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/bergerie-de-la-bastide-7286501,https://sb-product-media-prod.azureedge.net/productimages/24446954/24446954,
"Three Homes, Blanc",Provin,2018,12.5,750.0,119.0,France,Bordeaux,,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/trois-maisons-7646901,https://sb-product-media-prod.azureedge.net/productimages/24446958/24446958,
"Camina, Sauvignon Blanc",Cristo de la Vega,2019,12.0,750.0,75.0,Spain,Castile-La Mancha,La Mancha,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/camina-7413501,,
"Camina, Cabernet Sauvignon",Cristo de la Vega,2018,13.0,750.0,75.0,Spain,Castile-La Mancha,La Mancha,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/camina-7959701,,
"Langa, Mítico",Bodegas Langa,2019,13.0,750.0,115.0,Spain,Aragon,Calatayud,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/langa-7099901,,
"Côte Rôtie, Château D'Ampuis",E Guigal,2014,14.0,750.0,959.0,France,Rhonedalen,Côte-Rôtie,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/côte-rôtie-7380601,,
"Tommasi, Le Prunée Merlot",Tommasi Viticoltori,2017,13.0,750.0,149.0,Italy,Veneto,,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/tommasi-7985801,https://sb-product-media-prod.azureedge.net/productimages/24447455/24447455,
"Méndez Moya, Cabernet Sauvignon",Bodega Méndez Moya,2014,14.0,750.0,194.0,Spain,Andalusia,Granada,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/méndez-moya-7473901,,
"Bernard Tornay, Rosé",Bernard Tornay,,12.5,750.0,369.0,France,Champagne,,Sparkling wine,Rosé,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/bernard-tornay-7111001,,
"Conti Ducco, Rouge Curtefranca",Conti Ducco,2016,13.5,750.0,259.0,Italy,Lombardy,Franciacorta,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/conti-ducco-7438501,https://product-cdn.systembolaget.se/productimages/24448259/24448259,
"Burgundy Crémant, Methusalem Extra Brut",Clotilde Davenne,,12.0,6000.0,1950.0,France,Burgundy,Crémant de Bourgogne,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/crémant-de-bourgogne-7274210,,
"Mulderbosch, Chenin Blanc Block S2",Mulderbosch Vineyards,2017,12.0,750.0,249.0,South Africa,Western Cape,Coastal Region,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/mulderbosch-7206501,,
"Tesch, Unplugged Riesling",Weingut Tesch,2018,12.0,750.0,149.0,Germany,Nahe,,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/tesch-7854401,,
"Torre d´Orti, Rosso",Torre d'Orti,2018,14.5,1500.0,395.0,Italy,Veneto,Veronese,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/torre-d´orti-7831806,,
"Rivarose, Brut Prestige",Rivarose,,12.0,750.0,149.0,France,Mediterranean,,Sparkling wine,Rosé,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/rivarose-7044201,https://sb-product-media-prod.azureedge.net/productimages/24449363/24449363,
Naoussa Boutari,Boutari,2014,12.0,750.0,159.0,Greece,Macedonia,Naoussa,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/naoussa-boutari-7421201,,
"Ninki-ichi, Matured Sake",Ninki-Ichi,1998,18.0,720.0,539.0,Japanese,,,Aperitif & Dessert,Sake,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/ninki-ichi-7271501,,
"JM Gobillard & Fils, Blanc de Blancs Brut",JM Gobillard & Fils,,12.0,750.0,319.0,France,Champagne,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/jm-gobillard-&-fils-7441601,,
"Falreco Tower, Amarone",Cantina Valpantena,2013,15.5,750.0,295.0,Italy,Veneto,Valpolicella,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/torre-del-falasco-7445401,,
"Lanson, Black Label",Lanson,,12.5,9000.0,7709.0,France,Champagne,,Sparkling wine,Dry white,Served at 8-10 ° C as an aperitif or with fish or seafood dishes.,"Fruity, very fresh taste with hints of red apples, biscuits and grapefruit.",0.0%,8.333333333333332%,83.33333333333334%,41.6666666666666767%,0.0%,https://www.systembolaget.se/produkt/vin/lanson-750010,https://product-cdn.systembolaget.se/productimages/32860/32860,
"Drappier, Carte d'Or Brut",Drappier,,12.0,750.0,399.0,France,Champagne,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/drappier-7453801,,
"Santa Margherita, Merlot",Santa Margherita,2014,13.5,750.0,119.0,Italy,Veneto,,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/santa-margherita-7454101,,
"Banfi, Aska Bolgheri Rosso",Castello Banfi,2016,14.0,750.0,249.0,Italy,Tuscany,Bolgheri,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/banfi-7129001,https://product-cdn.systembolaget.se/productimages/3316839/3316839,
"Dr. Loosen, Bernkasteler Lay Riesling Cabinet",Dr. Loosen,2018,8.5,750.0,169.0,Germany,Moselle,,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/dr-loosen-7465601,https://product-cdn.systembolaget.se/productimages/334310/334310,
"Jean-Paul Brun, Le Ronsay",Terres Dorées,2019,12.5,750.0,179.0,France,Burgundy,Beaujolais,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/jean-paul-brun-7246801,,
Chablis,Louis Robin,2018,12.5,750.0,149.0,France,Burgundy,Chablis,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/chablis-7479601,https://sb-product-media-prod.azureedge.net/productimages/343098/343098,
"Veiga da Princesa, Albarino",Adega Pazo Do Mar,2019,13.5,750.0,199.0,Spain,Galicia,Rías Baixas,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/veiga-da-princesa-7875401,https://sb-product-media-prod.azureedge.net/productimages/3485799/3485799,
"Panzanello, Chianti Classico Riserva",Panzanello,2013,14.5,750.0,236.0,Italy,Tuscany,Chianti,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/panzanello-7502001,,
"Panzanello, Chianti Classico",Panzanello,2018,15.0,750.0,166.0,Italy,Tuscany,Chianti,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/panzanello-7502201,,
"Max Mann, Pinot Blanc Classic",Winery Max Mann,2016,12.0,750.0,85.0,Germany,Nahe,,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/max-mann-7508101,,
"Dogarina, Carmenere Piave",Vigna Dogarina,2017,12.5,750.0,118.0,Italy,Veneto,Piave,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/dogarina-7754401,,
"Alphonse, Rosé",Vignerons de Terres Sècretes,2019,12.5,750.0,99.0,France,Burgundy,,Rose wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/alphonse-8248801,https://sb-product-media-prod.azureedge.net/productimages/24454519/24454519,
"Newton Johnson, Albariño",Newton Johnson Vineyards,2019,13.5,750.0,209.0,South Africa,Western Cape,Cape South Coast,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/newton-johnson-7071801,,
"Newton Johnson, Southend Chardonnay",Newton Johnson Vineyards,2018,13.5,750.0,209.0,South Africa,Western Cape,Cape South Coast,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/newton-johnson-7057501,,
"Sirica Campania, Rosso",Feudi di San Gregorio,2015,13.5,750.0,169.0,Italy,Campania,,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/sirica-campania-7335901,https://sb-product-media-prod.azureedge.net/productimages/24454543/24454543,
"Bosca, Piedmont Chardonnay Extra Dry",Bosca Spa,,12.0,750.0,147.0,Italy,Piedmont,,Sparkling wine,Dry white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/bosca-7891301,https://sb-product-media-prod.azureedge.net/productimages/24455226/24455226,
"Bosca, Asti",Bosca Spa,,7.5,750.0,148.0,Italy,Piedmont,Asti,Sparkling wine,Sweet white,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/bosca-7220501,https://sb-product-media-prod.azureedge.net/productimages/24455227/24455227,
"Burgundy, Hautes Côtes de Nuits",Domaine Guyon,2018,13.0,750.0,199.0,France,Burgundy,Côte de Nuits,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/bourgogne-7330601,https://sb-product-media-prod.azureedge.net/productimages/24455241/24455241,
"Bussola, Ripasso Cà del Laito",Bussola Tommaso,2016,14.5,750.0,275.0,Italy,Veneto,Valpolicella,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/bussola-7405701,,
"Costadoro, Rosso Piceno Superiore",Vitivinicola Costadoro,2016,13.5,750.0,119.0,Italy,March,Rosso Piceno,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/costadoro-7053401,https://sb-product-media-prod.azureedge.net/productimages/24455515/24455515,
"Talabira do Algarve, Premium",Casa Santos Lima - Companhia das Vinhas SA,2018,14.0,750.0,119.0,Portugal,Algarve,,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/talabira-do-algarve-7969601,https://sb-product-media-prod.azureedge.net/productimages/24455588/24455588,
"Cirillo Estate, 1850 Ancestor Vine Semillon",Cirillo Estate Wines,2017,10.0,750.0,299.0,Australia,South Australia,Adelaide,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/cirillo-estate-7179001,,
"Gérard Bertrand, Côte des Roses",Gérard Bertrand,2019,13.0,750.0,139.0,France,Languedoc-Roussillon,Languedoc,Rose wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/gérard-bertrand-7127401,https://sb-product-media-prod.azureedge.net/productimages/24455607/24455607,
"Marrenon, Orca Vieilles Vignes Ventoux","Marrenon, Vignobles and Ventoux & Luberon",2017,15.0,750.0,169.0,France,Rhonedalen,Ventoux,Red wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/marrenon-7958501,https://sb-product-media-prod.azureedge.net/productimages/24456468/24456468,
"Villa Huesgen, Slate Riesling Dry Trabener Würzgarten",Huesgen,2018,11.0,750.0,159.0,Germany,Moselle,,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/villa-huesgen-7549601,,
"Silverfish Chenin Blanc, Silverfish Chenin Blanc",Avant Garde Wines (pty) Ltd,2016,13.5,750.0,387.0,South Africa,Western Cape,Coastal Region,White wine,,,,0.0%,0.0%,0.0%,0.0%,0.0%,https://www.systembolaget.se/produkt/vin/silwervis-chenin-blanc-7320501,,
